_id,价格(万元),小区,市区,年份,户型,朝向,楼层,电梯,装修情况,详情页,面积(㎡)
61cb3741cb2ae02b512581b1,205,红星海一期艺墅,开发区,2009/塔楼,3室2厅,南 北,29,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102103376436.html,143
61cb3743cb2ae02b512581b2,75,星海造船楼,沙河口,1996/板楼,2室1厅,东 西 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102100708911.html,66.93
61cb3744cb2ae02b512581b3,430,翰林观海,高新园区,2003/板楼,4室2厅,南 北,19,有电梯,精装,https://dl.lianjia.com/ershoufang/102105196207.html,156.37
61cb3745cb2ae02b512581b4,130,碧海尚城,金州,2007/板楼,3室1厅,南 北,19,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186528.html,137.6
61cb3746cb2ae02b512581b5,135,益丰乾城,甘井子,2015/板楼,3室1厅,南 北,11,有电梯,精装,https://dl.lianjia.com/ershoufang/102105189144.html,93.36
61cb3747cb2ae02b512581b6,278,万科蓝山,甘井子,2016/板楼,3室2厅,南 北,15,有电梯,精装,https://dl.lianjia.com/ershoufang/102105193692.html,92.76
61cb3748cb2ae02b512581b7,259,金地檀溪,甘井子,2015/板楼,3室1厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105188604.html,115.78
61cb3749cb2ae02b512581b8,330,中铁诺德滨海花园B区,高新园区,2017/板楼,3室2厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105194329.html,107.33
61cb3749cb2ae02b512581b9,333,亿达国际新城,高新园区,2004/板楼,3室2厅,南 北,13,有电梯,简装,https://dl.lianjia.com/ershoufang/102105189552.html,125.03
61cb374acb2ae02b512581ba,140,星海小区,沙河口,1996/板楼,3室1厅,南 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105185491.html,116.35
61cb374bcb2ae02b512581bb,375,悦丽海湾,高新园区,2014/板楼,3室2厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186964.html,124
